"","candidates","money_spent"
"1","Bachmann, Michele",9991236.92
"2","Romney, Mitt",457673629.930028
"3","Obama, Barack",694548636.489999
"4","Roemer, Charles E. 'Buddy' III",710046.119999999
"5","Pawlenty, Timothy",5193436.28
"6","Johnson, Gary Earl",2622336
"7","Paul, Ron",45196030.01
"8","Santorum, Rick",23306289.21
"9","Cain, Herman",16293061.27
"10","Gingrich, Newt",24221141.06
"11","McCotter, Thaddeus G",542466.07
"12","Huntsman, Jon",8261551.45000011
"13","Perry, Rick",20282551.97
"14","Stein, Jill",1058390.6
